"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tnfrsf231",2.2481117557789e-18,0.383209713012176,0.382,0.276,7.57523737227258e-14,"5","Tnfrsf23"
"Knop11",2.66097799375891e-18,0.605831881243329,0.356,0.263,8.96643144777001e-14,"5","Knop1"
"Plac8",2.78193439631864e-18,0.57750214224278,0.479,0.384,9.3740061418353e-14,"5","Plac8"
"Ctnnb11",2.96763651708727e-18,0.487762696124867,0.423,0.321,9.99974800797725e-14,"5","Ctnnb1"
"Stmp12",3.28009115820615e-18,0.517858696542,0.41,0.316,1.10525951666914e-13,"5","Stmp1"
"App",4.78345879502669e-18,0.475393180775581,0.465,0.367,1.61183427557219e-13,"5","App"
"Tln12",5.24617518309548e-18,0.465449251441694,0.428,0.333,1.76775118969585e-13,"5","Tln1"
"Dstn",5.92414761258751e-18,0.690259256975887,0.399,0.307,1.99620077953749e-13,"5","Dstn"
"Marcksl11",6.92832990572753e-18,0.565376442692489,0.382,0.287,2.33457004503395e-13,"5","Marcksl1"
"Dst",8.72622686835057e-18,0.362612488435191,0.73,0.677,2.94038940555941e-13,"5","Dst"
"Mdm21",9.07123921094571e-18,0.287161823229461,0.799,0.712,3.05664476452027e-13,"5","Mdm2"
"Nfat51",1.11577838751667e-17,0.4299316689734,0.539,0.443,3.75972685457616e-13,"5","Nfat5"
"Kdelr22",1.12967328787417e-17,0.52619242807272,0.43,0.339,3.80654711082081e-13,"5","Kdelr2"
"Maged11",1.34010540478515e-17,0.592177272832071,0.344,0.253,4.51561917196404e-13,"5","Maged1"
"Ndufc12",1.46478211391795e-17,0.50347330715526,0.372,0.276,4.93572981105793e-13,"5","Ndufc1"
"Smad32",1.47536928318929e-17,0.621988694617929,0.302,0.213,4.97140433663462e-13,"5","Smad3"
"Rnf2171",1.47671383913629e-17,0.582610488413224,0.384,0.292,4.97593495235363e-13,"5","Rnf217"
"Pdia41",1.4777855708106e-17,0.611602111762748,0.307,0.219,4.9795462594034e-13,"5","Pdia4"
"Ndfip11",1.65654525104526e-17,0.521040493550209,0.449,0.359,5.58189487792211e-13,"5","Ndfip1"
"Igf1r1",2.26410089503448e-17,0.582210947549942,0.32,0.23,7.62911437590818e-13,"5","Igf1r"
"Fnip21",2.77561890035597e-17,0.581470698397681,0.37,0.278,9.35272544663948e-13,"5","Fnip2"
"Cdc42se11",3.03746812158537e-17,0.573115239271124,0.327,0.238,1.02350525824941e-12,"5","Cdc42se1"
"Vcan2",3.10083687643574e-17,0.375836364962721,0.618,0.527,1.04485799388379e-12,"5","Vcan"
"Tes1",3.27215724054748e-17,0.438243251498265,0.502,0.41,1.10258610377488e-12,"5","Tes"
"Notch21",3.39774351367211e-17,0.55078148667878,0.374,0.282,1.14490365436695e-12,"5","Notch2"
"Cope",3.91290766634483e-17,0.61717235299915,0.265,0.181,1.31849336725155e-12,"5","Cope"
"Pnrc11",4.21986486876579e-17,0.254585642396727,0.816,0.74,1.42192566617932e-12,"5","Pnrc1"
"Oat1",5.27846311939995e-17,0.649848612541839,0.281,0.196,1.77863093271301e-12,"5","Oat"
"Tbcb1",5.64200050692438e-17,0.576725501238334,0.284,0.198,1.90112849081324e-12,"5","Tbcb"
"Mat2a",6.39024795965244e-17,0.314873336968908,0.651,0.565,2.15325795248449e-12,"5","Mat2a"
"Apbb21",6.90794361870503e-17,0.386415487736689,0.58,0.491,2.32770068175885e-12,"5","Apbb2"
"Capg2",7.34387630936773e-17,0.453893920346222,0.423,0.327,2.47459256120455e-12,"5","Capg"
"Arf52",7.45824869893341e-17,0.540089535363371,0.382,0.293,2.5131314815926e-12,"5","Arf5"
"Mef2a1",7.46760106191391e-17,0.537040803126315,0.372,0.28,2.51628285382251e-12,"5","Mef2a"
"Srsf62",9.48777483797596e-17,0.621081381209658,0.306,0.222,3.19700060940438e-12,"5","Srsf6"
"Acer31",1.43576694940878e-16,0.567263726445706,0.298,0.212,4.83796031272784e-12,"5","Acer3"
"Arfgap31",1.442440002138e-16,0.618552879928616,0.302,0.217,4.86044583120422e-12,"5","Arfgap3"
"Macf12",1.5122438919704e-16,0.360465381602437,0.55,0.457,5.09565701838346e-12,"5","Macf1"
"Ppm1l1",1.52695244227943e-16,0.52745081085953,0.366,0.274,5.14521894950475e-12,"5","Ppm1l"
"Pitpna2",2.52570292303137e-16,0.554249373714167,0.364,0.279,8.51060856944652e-12,"5","Pitpna"
"Pitpnc11",2.87217876828606e-16,0.636593016818085,0.377,0.293,9.67809357761671e-12,"5","Pitpnc1"
"Azin11",4.50918115515103e-16,0.518257337178685,0.361,0.272,1.51941368203969e-11,"5","Azin1"
"Swi52",4.8909237471962e-16,0.423681417166645,0.458,0.363,1.64804566585523e-11,"5","Swi5"
"Rpn11",5.34548249689933e-16,0.51290990411156,0.353,0.264,1.8012137821552e-11,"5","Rpn1"
"Sec31a1",5.49822346212576e-16,0.467978421215203,0.415,0.323,1.8526813777979e-11,"5","Sec31a"
"Fscn12",5.85394248485934e-16,0.502811320479378,0.397,0.306,1.9725444596982e-11,"5","Fscn1"
"Spcs1",5.86993899546155e-16,0.431633529463874,0.448,0.356,1.97793464391072e-11,"5","Spcs1"
"Capzb",5.97915562586799e-16,0.489197724235214,0.36,0.274,2.01473627969248e-11,"5","Capzb"
