"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Myl64",1.32411280313052e-16,0.965205750988037,0.617,0.599,4.46173050142859e-12,"11","Myl6"
"Vim4",5.62522523426715e-16,0.547587979697455,0.899,0.918,1.89547589493866e-11,"11","Vim"
"Npm13",8.31787942405933e-16,0.570591099638817,0.93,0.948,2.80279265073103e-11,"11","Npm1"
"mt-Co11",9.11205500571103e-16,0.336762394224955,0.993,0.998,3.07039805472439e-11,"11","mt-Co1"
"Eif3h1",1.14752874266655e-15,0.693416357678516,0.718,0.758,3.86671285128922e-11,"11","Eif3h"
"Serbp1",2.34248978936586e-15,0.596393425789126,0.747,0.811,7.8932535942472e-11,"11","Serbp1"
"Cox4i11",4.71836290961895e-15,0.696253001890485,0.716,0.758,1.5898995660252e-10,"11","Cox4i1"
"Sec61b2",5.22930095346816e-15,0.928119125310984,0.588,0.553,1.76206524928063e-10,"11","Sec61b"
"Ndufa6",1.46786434312942e-14,1.04063101035817,0.557,0.537,4.9461156906089e-10,"11","Ndufa6"
"Cox5b4",1.50205558111479e-14,0.907788927006352,0.593,0.588,5.0613264861244e-10,"11","Cox5b"
"Ifitm22",2.54030730793881e-14,1.13768084082053,0.513,0.461,8.55981950483062e-10,"11","Ifitm2"
"Tuba1b2",6.86997790481664e-14,0.742646125790168,0.684,0.678,2.31490775480702e-09,"11","Tuba1b"
"Ftl11",8.02452630435976e-14,0.371596105755501,0.971,0.988,2.70394438351706e-09,"11","Ftl1"
"Ppp1r14b1",9.50709677820926e-14,0.990450094741177,0.528,0.5,3.20351133038539e-09,"11","Ppp1r14b"
"Cox6a13",1.36534497592612e-13,1.16255329184933,0.48,0.432,4.60066643088065e-09,"11","Cox6a1"
"Hint12",1.43309994905124e-13,0.764186768006523,0.648,0.668,4.82897358832304e-09,"11","Hint1"
"Rps272",3.7248484813241e-13,0.494392517094393,0.841,0.887,1.25512494426697e-08,"11","Rps27"
"Atox14",1.76466133400438e-12,1.06402791464507,0.489,0.433,5.94620283106117e-08,"11","Atox1"
"Filip1l2",2.50146818964052e-12,0.967369591289839,0.533,0.504,8.42894721181269e-08,"11","Filip1l"
"Gng51",3.46609983903208e-12,0.6016746378461,0.677,0.717,1.16793700176025e-07,"11","Gng5"
"Eef1g3",3.83873457017744e-12,0.49821942044488,0.807,0.85,1.29350000076699e-07,"11","Eef1g"
"Pdap11",6.70845175612387e-12,1.09012576784478,0.463,0.414,2.2604799037435e-07,"11","Pdap1"
"Bgn2",1.10794339331698e-11,1.59297006508194,0.345,0.258,3.73332605812088e-07,"11","Bgn"
"Uqcrh2",1.2091430433697e-11,0.672767119107201,0.692,0.739,4.07432839893854e-07,"11","Uqcrh"
"Cst32",3.97155864953573e-11,1.29606371135595,0.446,0.407,1.33825640254756e-06,"11","Cst3"
"Fkbp34",7.48375648911899e-11,1.32897020813186,0.381,0.316,2.52172658657353e-06,"11","Fkbp3"
"Pebp11",8.38813510326246e-11,0.943104353762418,0.499,0.49,2.82646600439532e-06,"11","Pebp1"
"Eif3f1",8.96292314715533e-11,0.767300018290753,0.617,0.651,3.02014658366546e-06,"11","Eif3f"
"Tmem176b5",1.21223340628503e-10,1.00677648474782,0.537,0.514,4.08474168581804e-06,"11","Tmem176b"
"Eif5a3",1.34893628378318e-10,0.56884115406008,0.711,0.782,4.54537570183581e-06,"11","Eif5a"
"Slc25a392",2.09177086597509e-10,1.00958925333136,0.494,0.487,7.04843110998967e-06,"11","Slc25a39"
"Pgk13",2.19332960827544e-10,0.596861100195355,0.761,0.841,7.39064344804493e-06,"11","Pgk1"
"Gas52",2.47259237085511e-10,0.667306406040934,0.677,0.711,8.33164725283338e-06,"11","Gas5"
"Eef21",4.35775923276073e-10,0.543806785935645,0.776,0.855,1.46839055107105e-05,"11","Eef2"
"Tubb53",4.58352955718843e-10,0.720572452317654,0.699,0.754,1.54446611959021e-05,"11","Tubb5"
"Rps27l5",1.20344388417151e-09,0.888139963420405,0.492,0.484,4.05512451210431e-05,"11","Rps27l"
"Txn13",1.34754632406436e-09,0.535699731730698,0.733,0.822,4.54069209356726e-05,"11","Txn1"
"Ly6e4",1.8271435733357e-09,1.4801322875326,0.294,0.212,6.15674298471197e-05,"11","Ly6e"
"Rhoc",2.05971660537951e-09,0.678708954941353,0.634,0.691,6.94042107348679e-05,"11","Rhoc"
"Hspe12",2.23716324299538e-09,0.655901577548945,0.6,0.626,7.53834526359724e-05,"11","Hspe1"
"Psme22",2.57115038508665e-09,1.06389462100198,0.434,0.399,8.66374833758798e-05,"11","Psme2"
"Hmgb13",3.69171755863864e-09,0.673684063334849,0.675,0.737,0.000124396114855888,"11","Hmgb1"
"Ndufa43",5.11872382415376e-09,0.820433046665348,0.569,0.596,0.000172480517978685,"11","Ndufa4"
"H2-D16",5.36930917107989e-09,0.868521111228325,0.554,0.568,0.000180924241828708,"11","H2-D1"
"Ndufa73",6.26164016724946e-09,0.959938893227333,0.453,0.437,0.000210992227075638,"11","Ndufa7"
"H2az14",1.14736321237028e-08,0.615642237673518,0.745,0.817,0.00038661550804029,"11","H2az1"
"Calm12",1.2898072518682e-08,0.51108709491455,0.783,0.884,0.00043461345158951,"11","Calm1"
"Nop101",1.35773412337774e-08,1.18393331442531,0.386,0.343,0.000457502090213364,"11","Nop10"
"Timp24",1.38348155403755e-08,0.966229152751753,0.472,0.452,0.000466177944448492,"11","Timp2"
"Ncl1",3.42088423158511e-08,0.515997811370296,0.807,0.901,0.00115270115067492,"11","Ncl"
"Pfn14",3.67762322791873e-08,0.688748007833641,0.564,0.596,0.00123921192287949,"11","Pfn1"
"Cox7b",5.05826131962004e-08,1.04545990058721,0.405,0.376,0.00170443173425917,"11","Cox7b"
"Sem14",1.0253193551997e-07,0.769883493570795,0.518,0.553,0.00345491609928091,"11","Sem1"
