"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0.402170298357522,0.247733517661208,0.000444902211723667,"GM15943",0.691002998925476
"OK",0.508126889847364,-0.0203725010182078,-8.47757506511435e-05,"PRKD3",0.691002998925476
"OK",0.46455111736101,0.0889744258331616,0.000122486162225595,"GM29506",0.691002998925476
"OK",0.558129351273843,-0.146228132854482,-0.000294072365859225,"TRIM50",0.691002998925476
"OK",0.541676586286389,-0.104658456931175,-0.000221233864500274,"CRX",0.691002998925476
"OK",0.421878661840408,0.197089725396764,0.000336407073974794,"CFAP119",0.691002998925476
"OK",0.549993192513271,-0.125644147776076,-0.000260082676833524,"SLC38A3",0.691002998925476
"OK",0.521156763186182,-0.0530570233031883,-0.00014944885344224,"CAMKK1",0.691002998925476
"OK",0.452260249988703,0.119952848044661,0.000154340077047626,"GM57386",0.691002998925476
"OK",0.464641033769473,0.0887481471969838,0.00012626775935242,"PDZD2",0.691002998925476
"OK",0.491780577631401,0.0206044943405763,-4.26564340717576e-06,"SAMSN1",0.691002998925476
"OK",0.468713643940673,0.0785038247783575,0.000105880258894705,"USP27X",0.691002998925476
"OK",0.527855798238743,-0.0698809653678571,-0.000173559039206264,"GM13266",0.691002998925476
"OK",0.429629746489014,0.177316879464347,0.000302639714949539,"PTGFR",0.691002998925476
"OK",0.551457529797746,-0.129344652714281,-0.000293344845325199,"KLRG2",0.691002998925476
"OK",0.520897481608849,-0.0524061965358014,-0.000147719149196621,"FUZ",0.691002998925476
"OK",0.5229798922093,-0.057633938497564,-0.000157102784182341,"5930403N24RIK",0.691002998925476
"OK",0.484422536764582,0.0390568373090467,2.87085785301643e-05,"LTC4S",0.691002998925476
"OK",0.505430425122147,-0.013612477540404,-7.16021663864803e-05,"ZFP39",0.691002998925476
"OK",0.547258683066717,-0.118738373583997,-0.000247506665325072,"4930478K11RIK",0.691002998925476
"OK",0.460642284602112,0.098815742195665,0.000138922340202049,"GM47695",0.691002998925476
"OK",0.580762010078056,-0.203843267779939,-0.000418509988729924,"NIPAL2",0.691002998925476
"OK",0.532126024891389,-0.0806152345545052,-0.000179091060254794,"GM36026",0.691002998925476
"OK",0.577599020210035,-0.195754966470714,-0.000252674428076414,"GM36684",0.691002998925476
"OK",0.533262680837386,-0.0834740149609557,-0.000209293291973702,"GM20508",0.691002998925476
"OK",0.502869899038372,-0.00719383212270294,-5.91041480283627e-05,"GPR173",0.691002998925476
"OK",0.487138872361624,0.0322436523464211,1.89792054548094e-05,"OBSL1",0.691002998925476
"OK",0.542789529923121,-0.10746392887556,-0.000256451628680688,"DDX59",0.691002998925476
"OK",0.463694258409441,0.0911309796925999,0.000135111290369508,"A930004D18RIK",0.691002998925476
"OK",0.53240636504218,-0.0813202502964449,-0.000138407713839173,"GM13613",0.691002998925476
"OK",0.53191350637992,-0.0800808073408772,-0.000178682334889649,"GM33609",0.691002998925476
"OK",0.538250100625226,-0.0960261563990481,-0.00023224361058202,"RNFT2",0.691002998925476
"OK",0.557358441729491,-0.144275256222683,-0.000247454268123664,"ATP2B2",0.691002998925476
"OK",0.517647194664407,-0.0442493929902925,-0.000101706569294975,"VMN2R19",0.691002998925476
"OK",0.544391555568692,-0.11150375405177,-0.000247512357027932,"4933400L20RIK",0.691002998925476
"OK",0.529445891058513,-0.0738770493723937,-0.000158219634457372,"OPRM1",0.691002998925476
"OK",0.51549035349695,-0.0388383199019641,-9.75530637145449e-05,"INHBE",0.691002998925476
"OK",0.50888829718675,-0.0222815005695323,-7.56589270378496e-05,"CLDN7",0.691002998925476
"OK",0.516482367977318,-0.0413269304069673,-0.000125459713373203,"CACNA1G",0.691002998925476
"OK",0.562287689302455,-0.156771897627272,-0.000350332624334581,"GM47545",0.691002998925476
"OK",0.453306348356391,0.117312150621774,0.000172495435888019,"GM48653",0.691002998925476
"OK",0.521635180196042,-0.0542579645662447,-0.000128828136287946,"TC2N",0.691002998925476
"OK",0.489047543587178,0.0274571865131123,6.12102264901465e-06,"GM46392",0.691002998925476
"OK",0.587240226274598,-0.220451491182684,-0.000451982478750371,"4930526H09RIK",0.691002998925476
"OK",0.54174711457445,-0.104836217658105,-0.00023115834150908,"GM16263",0.691002998925476
"OK",0.415211468445729,0.214159167570986,0.000375879022433507,"GM49164",0.691002998925476
"OK",0.418153659381842,0.206619130380954,0.000361877132157093,"SSH3",0.691002998925476
"OK",0.441363608745659,0.147512875794316,0.000247070441853557,"KAZALD1",0.691002998925476
"OK",0.5659655860361,-0.166111978136304,-0.000370918666738791,"VIL1",0.691002998925476
"OK",0.405919082659167,0.238055349345097,0.000417142233203807,"GM34068",0.691002998925476
"OK",0.520924591223697,-0.0524742437627564,-0.000102675990214329,"PAK6",0.691002998925476
"OK",0.555279987717074,-0.139012812345616,-0.000317197626441179,"4930593A02RIK",0.691002998925476
"OK",0.56669227211821,-0.16795909951049,-0.000352559407750122,"GM43061",0.691002998925476
"OK",0.430594695306952,0.174860319072597,0.000271099902431034,"ZSWIM5",0.691002998925476
"OK",0.481629292609711,0.0460648207290086,3.69031135343692e-05,"GM13201",0.691002998925476
"OK",0.526099744975292,-0.065469097632865,-0.000172907970759872,"OGFOD2",0.691002998925476
"OK",0.566588016863252,-0.167694064035873,-0.000355135695618504,"ALDH1L1",0.691002998925476
"OK",0.449908676774745,0.125892078093994,0.000201014223453459,"ZFP324",0.691002998925476
"OK",0.475877230906171,0.0605037091213971,7.3940593149761e-05,"UPK1A",0.691002998925476
"OK",0.408242286921326,0.232068804565527,0.000414486722840826,"DCHS1",0.691002998925476
"OK",0.588053509928772,-0.222540717127547,-0.000486734145826485,"ZGLP1",0.691002998925476
"OK",0.548907317804939,-0.122901163352535,-0.000268892648238919,"ITGA11",0.691002998925476
