,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
165,RFX3(+),-0.28963316284731155,0.0,0.0,0.0905035194763513,0.11062511594580242,1802,7718,1
166,FOSB(+),-0.2808032484697472,0.0,0.0,0.07065706338886549,0.08583922448016178,1802,7718,1
167,ARID5B(+),-0.27016065924450766,6.363099196013467e-293,4.573477547134679e-292,0.129522007531324,0.1561960438468507,1802,7718,1
168,HLTF(+),-0.2565239857721059,1.340312072986032e-08,1.8570588963059476e-08,0.082179511315728,0.098171396643928,1802,7718,1
169,NFIC(+),-0.25510397579705013,0.0,0.0,0.12235337962651188,0.146019184683353,1802,7718,1
170,NFE2L2(-),-0.2528270425232936,9.728806949331424e-09,1.3644058526501388e-08,0.020707674633726466,0.024674016990989384,1802,7718,1
171,TEAD1(+),-0.24623476459368732,0.0,0.0,0.12654137160125473,0.15009166943572674,1802,7718,1
172,E2F7(+),-0.24578550913597663,1.3078270159026282e-260,7.91579509625275e-260,0.10536590724914577,0.12493638119649765,1802,7718,1
173,GATA6(+),-0.2366383765051844,0.0,0.0,0.11717764841116031,0.13806386535334356,1802,7718,1
174,SMAD1(-),-0.23515335102090837,1.131695904742583e-31,2.0657941118316994e-31,0.0363000664458261,0.04272633428557405,1802,7718,1
175,FOXO1(+),-0.23475200281297995,1.3781654367578343e-100,3.77354821969407e-100,0.12232869970110988,0.14394472499369504,1802,7718,1
176,GRHL2(-),-0.23293864475956008,6.022211822851937e-22,1.0336632233253326e-21,0.03304862167335603,0.03883961110049372,1802,7718,1
177,JUN(+),-0.22638348824084428,7.683137890796318e-148,2.598708404239931e-147,0.09700215956570568,0.1134826906399146,1802,7718,1
178,ILF2(+),-0.22560353722770313,2.4692339521538063e-296,1.8930793633179181e-295,0.11724092661615508,0.13708586432246828,1802,7718,1
179,KLF6(+),-0.21123856132201477,8.258065927308877e-239,3.7987103265620836e-238,0.1268000191539853,0.14679405342264934,1802,7718,1
180,KLF3(-),-0.20840400134277653,3.176339681311255e-23,5.534531262890823e-23,0.04300618926530793,0.049689750815199996,1802,7718,1
181,ELF1(+),-0.20632978107169153,7.843680299306608e-266,5.306019026001529e-265,0.11622837886188116,0.13409841169667575,1802,7718,1
182,FOS(+),-0.20387074474072753,3.00442401810261e-34,5.758479368030003e-34,0.3755409760068963,0.43254225515089223,1802,7718,1
183,ELF2(+),-0.20274586507129794,6.63960122116132e-248,3.3198006105806597e-247,0.10447451173163767,0.12023833051947065,1802,7718,1
184,ETS2(+),-0.20108044995033617,7.208270271349075e-253,4.1447554060257185e-252,0.11944081433637006,0.13730425724820178,1802,7718,1
185,SMAD3(+),-0.19986580876175677,5.526082147330812e-218,2.191377403251874e-217,0.1258170485983974,0.1445123945629048,1802,7718,1
186,ETV6(+),-0.19890410707723152,2.236372729916832e-249,1.224680304478265e-248,0.11605960961718327,0.1332162512785154,1802,7718,1
187,CLOCK(+),-0.19676102948077304,1.4237290089217144e-235,6.297262924076814e-235,0.10049763849936132,0.11518258717031407,1802,7718,1
188,PITX1(+),-0.19554277894779176,2.5441484484249215e-249,1.3298957798584816e-248,0.11940602069424122,0.1367383917753848,1802,7718,1
189,YY1(+),-0.1943440383596069,6.86017748550244e-247,3.28716837846992e-246,0.12240118635357666,0.1400519024568215,1802,7718,1
190,KLF5(+),-0.19425953983464903,9.020864006032834e-211,3.457997868979253e-210,0.1264646980123118,0.14469291303043644,1802,7718,1
191,ELF3(+),-0.19166833962605795,1.643319599504228e-232,6.999324220110601e-232,0.12010490043378953,0.1371698448552249,1802,7718,1
192,NR3C1(+),-0.17624390128569498,3.042074754731863e-159,1.0601169599823158e-158,0.11988358987851787,0.13546105090811447,1802,7718,1
193,FOSL1(-),-0.172222782860826,1.6575582436277052e-68,3.812383960343722e-68,0.02402475689061602,0.027070933205983725,1802,7718,1
194,THRB(-),-0.16845579390284923,1.5367980959107807e-08,2.1039497741635688e-08,0.0355847690819825,0.03999211754119036,1802,7718,1
195,THRB(+),-0.1676435946386301,7.03397361866058e-91,1.8384249230590152e-90,0.14454572163377125,0.1623569905141598,1802,7718,1
