,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
64,TCF7L2(+),-0.42083547274670163,1.7500088273281551e-304,7.807731691156385e-304,0.3034155948727992,0.4061832401547129,1802,7718,1
65,ATF3(+),-0.4000620290471202,0.0,0.0,0.45801082672807286,0.6043748941034432,1802,7718,1
66,HIF1A(+),-0.3853872722979816,0.0,0.0,0.12959908901454872,0.16928367494629917,1802,7718,1
67,RUNX1(+),-0.3844568419102939,1.2395749884542506e-218,2.6627907159387606e-218,0.3437537490925777,0.44872522621393396,1802,7718,1
68,STAT1(+),-0.3478933446090023,0.0,0.0,0.08490723648336655,0.10806151178286284,1802,7718,1
69,NFKB1(+),-0.3364970029041423,4.484766835534382e-207,8.670549215366471e-207,0.13652856709112374,0.17239283995798893,1802,7718,1
70,MYC(+),-0.3289792371536622,0.0,0.0,0.14422312179744717,0.18116216863486087,1802,7718,1
71,CEBPD(+),-0.3048459570059883,0.0,0.0,0.13131252107723831,0.16220861539911946,1802,7718,1
72,NFIA(+),-0.2928338872244858,0.0,0.0,0.11224675543107089,0.13750724495461958,1802,7718,1
73,KLF4(+),-0.29112950998711945,6.064800034041582e-137,9.771066721511438e-137,0.08913965380417005,0.1090710914595777,1802,7718,1
74,RFX3(+),-0.28963316284731155,0.0,0.0,0.0905035194763513,0.11062511594580242,1802,7718,1
75,FOSB(+),-0.2808032484697472,0.0,0.0,0.07065706338886549,0.08583922448016178,1802,7718,1
76,ARID5B(+),-0.27016065924450766,6.363099196013467e-293,2.460398355791874e-292,0.129522007531324,0.1561960438468507,1802,7718,1
77,HLTF(+),-0.2565239857721059,1.340312072986032e-08,1.4667566081733935e-08,0.082179511315728,0.098171396643928,1802,7718,1
78,NFIC(+),-0.25510397579705013,0.0,0.0,0.12235337962651188,0.146019184683353,1802,7718,1
79,TEAD1(+),-0.24623476459368732,0.0,0.0,0.12654137160125473,0.15009166943572674,1802,7718,1
80,E2F7(+),-0.24578550913597663,1.3078270159026282e-260,4.214109273464024e-260,0.10536590724914577,0.12493638119649765,1802,7718,1
81,GATA6(+),-0.2366383765051844,0.0,0.0,0.11717764841116031,0.13806386535334356,1802,7718,1
82,MXD1(+),-0.30986013063891193,5.326830609995184e-176,3.089561753797207e-174,0.15510395600804167,0.19226492779517496,2391,7129,0
83,BHLHE40(+),-0.29878148621000555,1.6106035386018886e-35,9.341500523890953e-35,0.16303170072396372,0.20054611309144127,2391,7129,0
84,FOXO1(+),-0.17715523331842878,3.277425459960027e-70,3.801813533553631e-69,0.12738955531977073,0.14403328343290348,2391,7129,0
85,THRB(+),-0.17269767661304639,3.0860661221672404e-117,8.949591754284997e-116,0.14516231523338086,0.16362176286285965,2391,7129,0
86,SOX4(+),-0.16227686384207202,1.4562623280370235e-105,2.815440500871579e-104,0.573061132124269,0.6412851114461423,2391,7129,0
87,IRF6(+),-0.11354684449802135,1.3897524310313376e-72,2.0151410249954396e-71,0.1298939278321424,0.1405302619816273,2391,7129,0
88,PRDM1(+),-0.10706025829141609,5.900372259105503e-68,5.703693183801987e-67,0.1710131174809479,0.1841864906700912,2391,7129,0
89,BACH2(+),-0.09505950496364017,1.260330753636157e-61,1.0442740530128157e-60,0.15656371484544288,0.16722718530969524,2391,7129,0
90,ATF1(+),-0.0887021321031567,2.614743147934412e-20,1.083250732715685e-19,0.06665329539485937,0.07087998696240048,2391,7129,0
91,JUN(+),-0.08090450164958878,2.847513688665925e-28,1.501416308569306e-27,0.10579350992608944,0.11189578000602887,2391,7129,0
92,TFAP2A(+),-0.0668518766011769,7.391516023245716e-37,4.7634214372027944e-36,0.14530924488053412,0.15220105617637555,2391,7129,0
93,KLF3(+),-0.06203990318965627,3.83655668897002e-42,2.781503599503265e-41,0.11887600363684214,0.12409951051868078,2391,7129,0
94,REL(+),-0.05818739412969111,2.645597907225451e-07,7.672233930953808e-07,0.2812129554623683,0.29278678833361316,2391,7129,0
95,KLF12(+),-0.05374556548944493,4.749433172916215e-26,2.295559366909504e-25,0.12382675516508332,0.12852674827008564,2391,7129,0
96,ELK3(+),-0.0520653621763914,5.816175736556898e-25,2.5949091747715387e-24,0.1322095898882063,0.1370680372493484,2391,7129,0
97,FOSL1(+),-0.04771563707375024,7.294839395438751e-18,2.6443792808465472e-17,0.2385829613134682,0.2466057864713944,2391,7129,0
98,FOXP1(+),-0.042382818154118186,1.2063505029671986e-09,4.115784068946914e-09,0.4892593969673367,0.5038458378205978,2391,7129,0
99,EHF(+),-0.03719146266940723,4.0310068146793124e-18,1.5586559683426675e-17,0.12425413295586489,0.1274989443995288,2391,7129,0
100,CLOCK(+),-0.020913472745615398,0.0001392139595345493,0.00036701862059108453,0.11118717138140218,0.1128106923247862,2391,7129,0
101,EGR1(+),-0.0208277352609217,1.718681077885355e-08,5.537972362075033e-08,0.11534561230703512,0.1170228988027125,2391,7129,0
102,HLTF(+),-1.4054169482474308,1.1852067666752359e-25,1.205999867844977e-25,0.036509904862017065,0.09671266849471517,248,9272,6
103,FOS(+),-1.1120799615837689,6.034947185943366e-65,6.48198031082806e-65,0.19788415949455793,0.42774058374292123,248,9272,6
104,MYC(+),-0.9849958410939132,3.950381815444738e-137,1.0910578347418801e-136,0.08914447214603809,0.17644433282038816,248,9272,6
105,CEBPD(+),-0.9847690621111087,6.125769514585403e-144,2.9607885987162783e-143,0.08004144710788091,0.15840174479603517,248,9272,6
106,HIF1A(+),-0.9753119163954125,1.5944949326344998e-125,3.082690203093366e-125,0.08334894440350414,0.16386954523594552,248,9272,6
107,HMGA2(+),-0.9664612226245599,1.7019741244119153e-78,1.9742899843178219e-78,0.24136555950065175,0.4716383584797963,248,9272,6
