,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
65,MYC(-),-1.00350772449975,1.180950914791897e-58,8.414275267892267e-58,0.01659575466047003,0.033272309330465995,1802,7718,1
66,TEAD1(-),-0.7844871829759232,1.4236655544234605e-17,3.86423507629225e-17,0.01286968616751546,0.02216777700430324,1802,7718,1
67,FOXP1(-),-0.5169596705267274,5.5052267864599336e-33,2.852708425711057e-32,0.07301425034013401,0.10447875762750539,1802,7718,1
68,SMAD2(-),-0.47265314023227956,1.5185452352615122e-13,3.462283136396248e-13,0.019832338696194413,0.02752052468508672,1802,7718,1
69,STAT1(-),-0.45455426725872183,1.0659331200260655e-12,2.336853378518682e-12,0.029772531538842347,0.04079906750286335,1802,7718,1
70,HLTF(-),-0.43370691929503935,1.0732897029989882e-70,1.3104449391955827e-69,0.026579362824901195,0.03590073680464648,1802,7718,1
71,SOX9(-),-0.3876048113830983,1.6271419627759887e-20,5.455711286954786e-20,0.042616500448698025,0.05575174445187425,1802,7718,1
72,IRF6(-),-0.3498721629718706,4.505684998207208e-20,1.4268002494322827e-19,0.029428011645806516,0.03750446184556899,1802,7718,1
73,NFIC(-),-0.3470224022502175,1.1684370987093831e-14,2.775038109434785e-14,0.030922138845333496,0.03933088159305178,1802,7718,1
74,NR2F6(-),-0.33981904038315164,1.279618152060158e-18,3.838854456180474e-18,0.03475996300030217,0.04399213428743372,1802,7718,1
75,MXD1(-),-0.30681737328963343,1.8837047685877358e-16,4.668311817804389e-16,0.05520680046987089,0.06828948102204903,1802,7718,1
76,KLF10(-),-0.3066365216738474,0.0,0.0,0.06643092567010359,0.08216315285322545,1802,7718,1
77,ATF4(-),-0.29644822773136614,1.3996620356330185e-09,2.8493120011100737e-09,0.022284103964676092,0.027367491274173237,1802,7718,1
78,NFKB1(-),-0.2910668944750069,1.228987496314507e-32,5.837690607493909e-32,0.03955885352376238,0.04840202867026965,1802,7718,1
79,NFE2L2(-),-0.2528270425232936,9.728806949331424e-09,1.848473320372971e-08,0.020707674633726466,0.024674016990989384,1802,7718,1
80,SMAD1(-),-0.23515335102090837,1.131695904742583e-31,4.962051274640556e-31,0.0363000664458261,0.04272633428557405,1802,7718,1
81,GRHL2(-),-0.23293864475956008,6.022211822851937e-22,2.1454129618910026e-21,0.03304862167335603,0.03883961110049372,1802,7718,1
82,KLF3(-),-0.20840400134277653,3.176339681311255e-23,1.207009078898277e-22,0.04300618926530793,0.049689750815199996,1802,7718,1
83,FOSL1(-),-0.172222782860826,1.6575582436277052e-68,1.34972599838256e-67,0.02402475689061602,0.027070933205983725,1802,7718,1
84,THRB(-),-0.16845579390284923,1.5367980959107807e-08,2.82572553119079e-08,0.0355847690819825,0.03999211754119036,1802,7718,1
85,TFAP2A(-),-0.29148346061067787,6.433194926181667e-14,4.583651384904438e-13,0.03454366902966153,0.04227793153537204,2391,7129,0
86,HMGA2(-),-0.283689007648855,3.965590205697021e-74,2.2603864172473023e-72,0.03170433623694783,0.03859380235296968,2391,7129,0
87,EHF(-),-0.2808270477996286,2.3849967291521277e-27,2.718896271233426e-26,0.023063441117587583,0.02801957049599187,2391,7129,0
