,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
84,MAFB(+),-0.5023092257795462,4.853042992240902e-21,1.5068698490908001e-19,0.08025316323233744,0.11367692180916554,692,8828,5
85,ATF3(+),-0.41000922464763373,1.7099931575947555e-127,1.0619057508663432e-124,0.37406880514170127,0.49702309319113563,692,8828,5
86,HMGA2(-),-0.40497702056294693,1.902325099059189e-25,7.875625910105043e-24,0.04872041643611989,0.06450913591876938,692,8828,5
87,NR4A2(+),-0.3904198475969898,0.005126293252643525,0.02467773728598162,0.017315813461464068,0.022697132324710566,692,8828,5
88,AR(+),-0.3580436516905316,0.004823190988057005,0.023584264595144882,0.044832883031366136,0.05746171034826862,692,8828,5
89,ELF3(+),-0.35634440300195364,8.086217305379139e-30,5.021540946640446e-28,0.09334513700036758,0.11949838957961836,692,8828,5
90,NFKB1(+),-0.3416018089947162,8.262009708853855e-80,2.5653540145991222e-77,0.12208868901149425,0.15470623680421056,692,8828,5
91,IKZF2(+),-0.33777995639755903,2.5741031745857803e-24,9.990737946361059e-23,0.0956472419200167,0.12087997207517423,692,8828,5
92,ZNF846(+),-0.31425880801942885,2.7356185511317048e-14,5.480061678234802e-13,0.08126370316677343,0.10104107026790754,692,8828,5
93,NFATC1(-),-0.30937740164304317,7.053361984888256e-10,1.183821025031245e-08,0.0459314873895828,0.05691705084103095,692,8828,5
94,REL(+),-0.27830092106277365,5.20948144395898e-27,2.3107771262132336e-25,0.2656951655162219,0.322225998086896,692,8828,5
95,MEIS2(+),-0.27490015999481016,2.4931693340847877e-08,3.0965163129333064e-07,0.10078602483656464,0.12194205539024915,692,8828,5
96,MXD1(+),-0.26597444193603986,2.1148849148482263e-08,2.681828101252183e-07,0.06526783905244198,0.07848117925940411,692,8828,5
97,SMARCC2(+),-0.26106794871794314,3.780251196023498e-09,5.589371411263316e-08,0.08619624756769652,0.1032946061668779,692,8828,5
98,CEBPD(-),-0.2574347447360576,1.28529965483603e-07,1.4003001502687274e-06,0.05786998340063338,0.0691749635717498,692,8828,5
99,ZNF217(+),-0.2558415505644227,6.360432228566356e-08,7.181506207163103e-07,0.07586410887300893,0.09058417693447222,692,8828,5
100,NFIA(+),-1.259333965496294,0.0,0.0,0.07846572965701311,0.18783534593383602,1802,7718,1
101,SIX1(-),-1.1658255533622355,8.359553821738114e-39,2.101733977044279e-38,0.013410007587556401,0.0300869041731912,1802,7718,1
102,MEIS2(+),-0.9871190316617753,1.217619821424345e-171,1.1814717329758096e-170,0.0670289549521948,0.13286631476395003,1802,7718,1
103,AR(+),-0.9657028032285845,1.1786163688584937e-42,3.049669854421352e-42,0.03189834708813395,0.0622979415080854,1802,7718,1
104,HOXD8(-),-0.8689079490715498,7.641971739910722e-26,1.5925048491558922e-25,0.035738244624727404,0.06526804117605418,1802,7718,1
105,MYC(-),-0.8428058542289238,3.0546766501282895e-49,8.283642793579335e-49,0.03190531678989849,0.05722330136285755,1802,7718,1
106,GATA3(+),-0.8076324269362776,1.75631494716327e-74,6.341113849932504e-74,0.03534916573297775,0.06187294100523898,1802,7718,1
107,ZNF639(-),-0.7957446812407626,2.1620374015755927e-09,3.2827022649839683e-09,0.005714477313809124,0.009920180243607517,1802,7718,1
108,FOXM1(+),-0.7909659567358416,1.570801158425642e-61,4.758378143328408e-61,0.024266454586804653,0.041986610387745114,1802,7718,1
109,SREBF1(-),-0.77124127590928,4.196266858361374e-34,1.0022621996316974e-33,0.02970650146338619,0.05070120391691252,1802,7718,1
110,CDX2(-),-0.7318365500041767,2.30094218694715e-225,4.2026032296887653e-224,0.06719188078720725,0.11158904318685563,1802,7718,1
111,ZSCAN2(-),-0.6390328710793164,1.774403469053515e-13,2.907399879372646e-13,0.03528439773865201,0.05494785907939176,1802,7718,1
112,DLX2(+),-0.6314246794117067,1.6263586587071639e-81,6.515927271336444e-81,0.10272551936656756,0.1591314850316344,1802,7718,1
113,CEBPG(+),-0.6273288779640523,2.732404923408249e-19,5.020187743895037e-19,0.013102934667229586,0.020240134617797504,1802,7718,1
114,RBPJ(+),-0.622020966492822,1.1995746838239299e-05,1.6517425247331717e-05,0.010420394829209654,0.01603729648427972,1802,7718,1
115,EN2(+),-0.6195878144520734,6.908541239769023e-28,1.4896542048251955e-27,0.01809931084091269,0.0278084360151554,1802,7718,1
116,SHOX2(-),-0.6018040565101339,3.3555384382894167e-127,2.083789370177728e-126,0.09962519957835174,0.15119251050890303,1802,7718,1
117,ZNF672(-),-0.5882534734111733,2.9050861359045083e-15,4.942626001086849e-15,0.017685759505354604,0.026589224069002663,1802,7718,1
118,RFX3(+),-0.584836728655101,8.819649960599215e-276,3.2217662503130076e-274,0.0830812389065579,0.12461099497998021,1802,7718,1
119,POU2F2(+),-0.5835407922318364,5.86242427712253e-36,1.4332934945248392e-35,0.03167567767477688,0.04746671772536792,1802,7718,1
120,CLOCK(+),-1.0941079969538858,2.8806848495651757e-54,7.777849093825974e-53,0.024945498834024298,0.05325391340667294,2391,7129,0
121,HMGA2(-),-0.6628493615550911,2.481185717088262e-202,1.5408163303118108e-199,0.0441011371213192,0.06982120370425289,2391,7129,0
122,CEBPD(-),-0.5878978393890991,2.652187927039131e-81,1.497280638810273e-79,0.04964968200791434,0.07462620525231037,2391,7129,0
123,OVOL1(-),-0.5390645484266146,7.795718694895239e-30,1.2102853273824859e-28,0.026400966739098263,0.038361398710239206,2391,7129,0
124,ELF3(+),-0.5213240005924525,2.2698717018938135e-187,7.047951634380291e-185,0.08868905364642939,0.12729290093203965,2391,7129,0
125,MXD1(+),-0.49329260332907504,5.251999841352917e-78,2.3296370724858298e-76,0.05939058728602223,0.08360138882387855,2391,7129,0
126,FOXC1(+),-0.4733348048338954,2.6596922142623174e-14,2.064586081321124e-13,0.028307584762161105,0.03929984114871916,2391,7129,0
127,NFYA(-),-0.459529770857785,1.3410110326277635e-39,2.602399535193253e-38,0.036226271588257836,0.04981451277095781,2391,7129,0
128,STAT2(-),-0.45572502305206025,9.878985527127735e-11,5.898894242640695e-10,0.020235449579961966,0.02775235008190156,2391,7129,0
129,BACH2(-),-0.43115347976028634,8.3710640927573e-23,9.451692366549605e-22,0.0326119985473927,0.04397112203513227,2391,7129,0
130,AR(+),-0.4258552184738448,5.174250512855151e-13,3.530999525805548e-12,0.04497843945799237,0.060422623827768335,2391,7129,0
131,IKZF2(+),-0.4183460743537826,4.534869403267967e-105,3.5201923742867597e-103,0.09509157016102754,0.12707986262214493,2391,7129,0
132,ZIC2(+),-0.355266554494796,4.478232854917093e-10,2.6235684933052023e-09,0.031194393265308363,0.03990455162580921,2391,7129,0
133,BACH2(+),-0.3503259633186474,1.293003120387121e-73,5.018468361002513e-72,0.15108639960953346,0.1926122905524295,2391,7129,0
134,MAFB(+),-0.34980350042815367,1.944015595544935e-34,3.262793742792986e-33,0.09228523384203922,0.11760710626620502,2391,7129,0
135,NR4A2(+),-0.33071620996875517,1.015093687352049e-08,5.124985201996931e-08,0.01869846518567407,0.02351589238587895,2391,7129,0
136,ZNF846(+),-0.3303867042254191,2.2044091825091476e-40,4.563127007793936e-39,0.08350983898863289,0.10500112580932441,2391,7129,0
137,ZNF91(+),-0.3236903187725183,5.513036464486887e-07,2.394122828284166e-06,0.0157915267631694,0.019763534740084156,2391,7129,0
138,ZKSCAN1(-),-0.30451619735276847,1.1517114485657073e-25,1.490026686581884e-24,0.018476861932590766,0.022819006266466553,2391,7129,0
139,ESRRA(+),-0.2816347432140079,1.135919407734964e-06,4.831547617831593e-06,0.02747773033237619,0.033401145812829366,2391,7129,0
140,ZSCAN2(-),-2.9469705949196103,5.663496272284908e-10,7.162996303643439e-10,0.006797078597551628,0.05241419171781754,248,9272,6
141,ZNF16(-),-1.9376460436021938,2.276954975549758e-14,3.114513303560352e-14,0.007382663936520448,0.028281518439181617,248,9272,6
142,ZNF189(-),-1.916526395968618,7.060972124949622e-10,8.89424683487569e-10,0.007170739986422266,0.027070479736786477,248,9272,6
143,HIF1A(-),-1.8411179624319232,2.66448230434687e-09,3.3159188597182488e-09,0.004747709148701198,0.017010453958675516,248,9272,6
144,NMRAL1(-),-1.8040769572240083,8.81378360624485e-14,1.1872797439214865e-13,0.009557792961478654,0.03337635682140477,248,9272,6
145,ZNF780A(+),-1.6899680004011834,4.642677291217513e-19,6.767846473817078e-19,0.01324391617818462,0.04273143779414096,248,9272,6
146,ZNF236(+),-1.6880479517148566,3.4712961210987595e-12,4.519234572751215e-12,0.013706392484068065,0.04416479848372227,248,9272,6
147,NCOA1(+),-1.6783215620989689,3.364951990429633e-07,4.049680593133337e-07,0.005988163283183321,0.019165440980502057,248,9272,6
148,FOXC1(+),-1.6746427601443157,9.115954277271398e-13,1.2044697034437315e-12,0.011654129163655474,0.03720467846019844,248,9272,6
149,STAT2(-),-1.635751130188111,5.8015176702236043e-08,7.036606392986051e-08,0.008472943083021262,0.026329613222063845,248,9272,6
150,RBPJ(+),-1.6167526639960308,0.002094609145019106,0.002365004143739754,0.004969833344283117,0.015241683248330942,248,9272,6
151,FOSB(-),-1.5959378693778756,1.9823372726837213e-30,3.318144060206445e-30,0.02024310954407531,0.06119309361886264,248,9272,6
152,ZNF846(+),-1.572738381604919,5.797940813035416e-52,1.2633407876824539e-51,0.034072893496140975,0.1013562309457995,248,9272,6
153,PLAGL2(-),-1.5465562172216956,1.5561753361334164e-19,2.2845978338979943e-19,0.015325591835840828,0.04476896816457128,248,9272,6
154,ZNF576(+),-1.5434936828809984,3.0504592944472433e-13,4.056392338012287e-13,0.02091956288461117,0.06098043471002634,248,9272,6
155,MAFB(+),-1.5006347947237113,1.6108625442973155e-38,3.0221922658871084e-38,0.039988155983327126,0.11315336410744466,248,9272,6
156,EBF4(+),-1.4926298927880877,4.48308638077949e-23,6.773714458550032e-23,0.023299772244486774,0.06556590467856054,248,9272,6
157,MYC(-),-1.483036772266734,1.596387457753506e-16,2.253083207420289e-16,0.019075550774149738,0.053323132461382976,248,9272,6
158,ZNF639(-),-1.4685093350314162,0.0005328400377205756,0.0006049244303920977,0.003352823949368197,0.009278466231687184,248,9272,6
159,MGA(+),-1.464888543687675,1.783617237268786e-16,2.5116242728886984e-16,0.008413298963892757,0.023224252605364773,248,9272,6
